project_id,name,repository,image_path,image_kind,project_url,image_source_url
5dc1821c87385c4b,ef28-badge,eurofurence/ef28-badge,docs/assets/badge-header.jpg,实物照片,https://github.com/eurofurence/ef28-badge,https://github.com/eurofurence/ef28-badge/blob/main/docs/assets/badge-header.jpg
,Teebeutel-Hardware,entropia/Teebeutel-Hardware,DOCS/3D-Front.png,PCB 3D渲染（非实拍）,https://github.com/entropia/Teebeutel-Hardware,https://github.com/entropia/Teebeutel-Hardware/blob/HEAD/DOCS/3D-Front.png
,makerville-badge,Makerville/makerville-badge,hw_pcb/mbadge25_v2/renders/mbadge25_17.png,PCB 3D渲染（非实拍）,https://github.com/Makerville/makerville-badge,https://github.com/Makerville/makerville-badge/blob/HEAD/hw_pcb/mbadge25_v2/renders/mbadge25_17.png
,MicrobitOLEDBadge,NurveNetworksLLC/MicrobitOLEDBadge,ProductImages/Product_Shot_01.jpg,实物照片,https://github.com/NurveNetworksLLC/MicrobitOLEDBadge,https://github.com/NurveNetworksLLC/MicrobitOLEDBadge/blob/HEAD/ProductImages/Product_Shot_01.jpg
,keychain_diceroller,icegoat9/keychain_diceroller,docs/diceroll_overview_keychain2_800.JPG,实物照片,https://github.com/icegoat9/keychain_diceroller,https://github.com/icegoat9/keychain_diceroller/blob/HEAD/docs/diceroll_overview_keychain2_800.JPG
,MKVN2025_Build_Guide,Deemen17/MKVN2025_Build_Guide,image/pcb_component_soldering_order.png,PCB装配图,https://github.com/Deemen17/MKVN2025_Build_Guide,https://github.com/Deemen17/MKVN2025_Build_Guide/blob/HEAD/image/pcb_component_soldering_order.png
,0xCB-1337,0xCB-dev/0xCB-1337,rev4.0/1337-v4.0.top.png,PCB正面渲染（非实拍）,https://github.com/0xCB-dev/0xCB-1337,https://github.com/0xCB-dev/0xCB-1337/blob/main/rev4.0/1337-v4.0.top.png
,Adafruit-MacroPad-RP2040-PCB,adafruit/Adafruit-MacroPad-RP2040-PCB,assets/5100.jpg,实物照片,https://github.com/adafruit/Adafruit-MacroPad-RP2040-PCB,https://github.com/adafruit/Adafruit-MacroPad-RP2040-PCB/blob/HEAD/assets/5100.jpg
,over-engineered-claude-usage-monitor,acervenky/over-engineered-claude-usage-monitor,docs/images/PXL_20260319_172247625.jpg,实物照片,https://github.com/acervenky/over-engineered-claude-usage-monitor,https://github.com/acervenky/over-engineered-claude-usage-monitor/blob/HEAD/docs/images/PXL_20260319_172247625.jpg
,beyblock20,ChrisChrisLoLo/beyblock20,images/PXL_20220821_181421951.jpg,实物照片,https://github.com/ChrisChrisLoLo/beyblock20,https://github.com/ChrisChrisLoLo/beyblock20/blob/master/images/PXL_20220821_181421951.jpg
